Index,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
2192,Brazil,2019,DDoS,Government,54.7,615305,Insider,Zero-day,Antivirus,6
2193,UK,2021,DDoS,Telecommunications,57.75,829827,Nation-state,Weak Passwords,Antivirus,48
2194,China,2022,Man-in-the-Middle,Education,60.55,699194,Nation-state,Social Engineering,Encryption,45
2195,France,2022,Malware,IT,6.51,82276,Insider,Zero-day,Firewall,26
2196,Russia,2024,Phishing,IT,47.56,234055,Unknown,Weak Passwords,VPN,64
2197,India,2019,Phishing,IT,52.47,880546,Nation-state,Zero-day,VPN,39
2198,China,2020,Phishing,Education,54.76,183678,Insider,Zero-day,AI-based Detection,59
2199,China,2023,DDoS,Education,42.64,720850,Unknown,Social Engineering,VPN,17
2200,Germany,2023,Phishing,Banking,39.53,339645,Unknown,Weak Passwords,AI-based Detection,2
2201,Japan,2017,DDoS,Telecommunications,73.27,368351,Nation-state,Zero-day,Antivirus,48
2202,Australia,2024,DDoS,Banking,88.79,810930,Insider,Weak Passwords,AI-based Detection,30
2203,France,2019,DDoS,IT,13.99,966010,Unknown,Weak Passwords,Encryption,20
2204,Japan,2015,Man-in-the-Middle,Telecommunications,79.88,104759,Hacker Group,Zero-day,AI-based Detection,12
2205,France,2017,Phishing,Banking,77.41,654122,Nation-state,Social Engineering,AI-based Detection,68
2206,India,2020,SQL Injection,Telecommunications,87.44,731625,Nation-state,Zero-day,Antivirus,33
2207,France,2020,Ransomware,Education,47.32,848222,Insider,Unpatched Software,VPN,16
2208,India,2017,Man-in-the-Middle,Telecommunications,32.4,437554,Insider,Weak Passwords,Firewall,19
2209,India,2023,Phishing,Retail,53.07,589348,Hacker Group,Social Engineering,Antivirus,4
2210,Brazil,2024,Ransomware,Retail,68.95,322146,Hacker Group,Social Engineering,Encryption,70
2211,India,2020,SQL Injection,Government,42.81,432917,Hacker Group,Unpatched Software,AI-based Detection,53
2212,UK,2022,DDoS,IT,53.91,64163,Unknown,Weak Passwords,AI-based Detection,7
2213,France,2021,Phishing,Retail,45.67,95873,Unknown,Unpatched Software,Antivirus,50
2214,Germany,2020,SQL Injection,Healthcare,62.61,205015,Nation-state,Unpatched Software,AI-based Detection,57
2215,Germany,2020,SQL Injection,Telecommunications,27.52,488501,Nation-state,Social Engineering,Encryption,47
2216,USA,2020,Ransomware,Retail,16.33,850758,Insider,Unpatched Software,Firewall,9
2217,Brazil,2019,SQL Injection,Healthcare,67.42,703282,Insider,Weak Passwords,Encryption,2
2218,Germany,2015,SQL Injection,Government,87.71,1579,Unknown,Unpatched Software,Antivirus,55
2219,Germany,2023,DDoS,IT,93.72,828721,Insider,Weak Passwords,Encryption,21
2220,Germany,2017,Malware,Government,67.79,239402,Hacker Group,Zero-day,VPN,17
2221,Russia,2024,DDoS,Education,54.4,891298,Insider,Social Engineering,AI-based Detection,60
2222,Australia,2024,Man-in-the-Middle,Education,86.52,915463,Insider,Weak Passwords,Antivirus,2
2223,India,2018,Malware,Education,99.09,395264,Unknown,Weak Passwords,Antivirus,5
2224,China,2015,Man-in-the-Middle,Healthcare,66.13,946668,Hacker Group,Unpatched Software,Encryption,67
2225,USA,2023,Malware,IT,52.54,201017,Insider,Unpatched Software,Encryption,17
2226,Germany,2022,SQL Injection,IT,48,876383,Insider,Zero-day,Encryption,72
2227,Australia,2022,Ransomware,Government,10.84,564944,Insider,Social Engineering,Antivirus,58
2228,Russia,2023,Malware,IT,6.35,259573,Nation-state,Zero-day,Firewall,68
2229,Japan,2020,DDoS,Education,99.83,10859,Nation-state,Social Engineering,AI-based Detection,66
2230,Russia,2020,DDoS,Government,41.45,496378,Insider,Unpatched Software,AI-based Detection,42
2231,UK,2019,Man-in-the-Middle,Education,29.92,937987,Hacker Group,Weak Passwords,VPN,45
2232,India,2023,Ransomware,Education,9.32,182887,Hacker Group,Unpatched Software,Firewall,51
2233,France,2017,Man-in-the-Middle,Healthcare,34.43,927694,Insider,Social Engineering,VPN,43
2234,Brazil,2021,Man-in-the-Middle,Banking,81.68,893986,Insider,Unpatched Software,Firewall,47
2235,USA,2018,Phishing,Retail,36.85,852789,Hacker Group,Social Engineering,VPN,4
2236,Brazil,2024,Man-in-the-Middle,Healthcare,26.92,695427,Nation-state,Zero-day,Encryption,28
2237,India,2019,DDoS,Banking,35.31,961173,Insider,Social Engineering,VPN,37
2238,China,2018,Man-in-the-Middle,Healthcare,11.74,430760,Nation-state,Unpatched Software,Firewall,63
2239,Germany,2016,Ransomware,Telecommunications,93.93,198764,Insider,Zero-day,Encryption,40
2240,Brazil,2021,Malware,Banking,34.68,786462,Unknown,Weak Passwords,Firewall,17
2241,India,2020,Malware,IT,84.43,999542,Hacker Group,Social Engineering,Encryption,15
2242,Australia,2022,Malware,Government,24.6,221315,Nation-state,Unpatched Software,VPN,53
2243,Brazil,2018,SQL Injection,Education,52.7,861075,Hacker Group,Social Engineering,Encryption,7
2244,Japan,2022,Phishing,Telecommunications,33.54,55209,Nation-state,Unpatched Software,VPN,11
2245,India,2018,Phishing,Education,43.54,76479,Insider,Zero-day,Firewall,4
2246,Japan,2016,SQL Injection,Telecommunications,37.17,728731,Unknown,Weak Passwords,VPN,72
2247,Japan,2017,SQL Injection,Education,36.37,161579,Nation-state,Zero-day,Firewall,15
2248,Germany,2019,SQL Injection,Government,56.53,362642,Unknown,Social Engineering,Encryption,19
2249,Brazil,2017,DDoS,Education,29.76,913276,Insider,Social Engineering,Encryption,57
2250,Brazil,2019,Phishing,Government,70.6,817268,Nation-state,Zero-day,VPN,1
2251,UK,2021,SQL Injection,IT,80.05,682480,Hacker Group,Zero-day,AI-based Detection,14
2252,USA,2024,DDoS,Telecommunications,15.53,298385,Hacker Group,Unpatched Software,AI-based Detection,11
2253,China,2020,DDoS,Healthcare,6.32,682445,Nation-state,Social Engineering,Firewall,20
2254,India,2021,SQL Injection,Government,18.26,78277,Hacker Group,Weak Passwords,Firewall,51
2255,India,2023,Man-in-the-Middle,IT,90.85,985267,Hacker Group,Unpatched Software,Firewall,48
2256,Japan,2016,Man-in-the-Middle,Healthcare,2.59,603982,Hacker Group,Social Engineering,Firewall,18
2257,Japan,2021,DDoS,Banking,74.26,81354,Insider,Weak Passwords,Firewall,6
2258,France,2021,Phishing,Education,78.99,542754,Insider,Zero-day,VPN,42
2259,Australia,2020,Phishing,Education,85.79,905386,Hacker Group,Zero-day,Firewall,17
2260,UK,2021,Phishing,Banking,88.38,281387,Hacker Group,Social Engineering,Firewall,55
2261,France,2015,Malware,Banking,30.15,205850,Insider,Unpatched Software,Firewall,72
2262,Germany,2024,Malware,Telecommunications,70.44,998028,Hacker Group,Unpatched Software,Encryption,59
2263,China,2015,Malware,IT,20.63,780527,Hacker Group,Zero-day,Antivirus,68
2264,USA,2020,Ransomware,Telecommunications,56.37,667436,Insider,Social Engineering,AI-based Detection,11
2265,Japan,2022,Ransomware,Retail,71.26,440529,Insider,Weak Passwords,Encryption,20
2266,China,2023,Man-in-the-Middle,Banking,3.47,194670,Nation-state,Social Engineering,Firewall,29
2267,USA,2023,DDoS,Banking,53.59,750875,Nation-state,Weak Passwords,Encryption,30
2268,China,2020,Phishing,Retail,75.95,970373,Unknown,Social Engineering,AI-based Detection,58
2269,France,2024,Phishing,Retail,44.98,827399,Nation-state,Weak Passwords,AI-based Detection,25
2270,UK,2018,Man-in-the-Middle,Education,81.01,416149,Insider,Unpatched Software,Antivirus,56
2271,Germany,2015,Ransomware,IT,51.11,506625,Insider,Weak Passwords,VPN,41
2272,USA,2018,Phishing,Government,38.83,333027,Hacker Group,Zero-day,VPN,19
2273,USA,2021,SQL Injection,Telecommunications,89.93,982269,Insider,Unpatched Software,Antivirus,51
2274,Brazil,2024,Malware,Government,78.97,724903,Unknown,Weak Passwords,Encryption,53
2275,Russia,2024,DDoS,Education,26.82,156823,Hacker Group,Social Engineering,VPN,1
2276,China,2017,DDoS,Education,56.73,244753,Insider,Zero-day,VPN,45
2277,Russia,2022,Malware,Retail,71.15,258554,Unknown,Social Engineering,AI-based Detection,72
2278,Australia,2020,Ransomware,Telecommunications,97.9,139407,Insider,Unpatched Software,Antivirus,41
2279,France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7
2280,UK,2016,SQL Injection,Government,69.55,55635,Unknown,Weak Passwords,Encryption,13
2281,Germany,2021,Ransomware,Education,11.42,55683,Hacker Group,Unpatched Software,AI-based Detection,19
2282,India,2023,Phishing,Banking,87.62,210006,Nation-state,Social Engineering,VPN,27
2283,Russia,2015,Man-in-the-Middle,Education,98.58,816455,Unknown,Unpatched Software,AI-based Detection,40
2284,UK,2020,SQL Injection,IT,87.48,53147,Nation-state,Social Engineering,Antivirus,9
2285,UK,2018,SQL Injection,Telecommunications,80.96,583514,Hacker Group,Zero-day,VPN,54
2286,UK,2022,Ransomware,Government,85.43,688150,Unknown,Weak Passwords,Firewall,58
2287,Japan,2023,Phishing,Government,3.54,809443,Insider,Weak Passwords,VPN,59
2288,Japan,2024,Malware,Government,34.03,78149,Nation-state,Weak Passwords,Encryption,30
2289,Australia,2018,DDoS,Banking,64.29,113775,Insider,Weak Passwords,AI-based Detection,14
2290,India,2021,Ransomware,Banking,54.97,798498,Nation-state,Zero-day,VPN,54
2291,Brazil,2016,Phishing,Education,97.45,267789,Insider,Weak Passwords,Encryption,26
2292,UK,2023,SQL Injection,Telecommunications,30.19,833840,Insider,Unpatched Software,Antivirus,6
2293,USA,2018,DDoS,Banking,6.61,646433,Insider,Social Engineering,Firewall,37
2294,Brazil,2017,Man-in-the-Middle,Government,68.03,403770,Hacker Group,Weak Passwords,Encryption,22
2295,Germany,2018,SQL Injection,Retail,75.63,814701,Hacker Group,Social Engineering,Antivirus,63
2296,China,2019,Ransomware,IT,72.29,666683,Hacker Group,Zero-day,Encryption,34
2297,Germany,2016,DDoS,Banking,44.17,236438,Hacker Group,Weak Passwords,Antivirus,24
2298,Russia,2020,DDoS,Education,60.94,798113,Insider,Social Engineering,Antivirus,23
2299,Germany,2021,Malware,Healthcare,23.34,518982,Hacker Group,Weak Passwords,VPN,20
2300,Germany,2015,DDoS,IT,76.99,252225,Unknown,Unpatched Software,Antivirus,67
2301,USA,2017,SQL Injection,Government,60.66,5346,Unknown,Zero-day,Antivirus,69
2302,China,2017,DDoS,Retail,19.36,4814,Unknown,Social Engineering,AI-based Detection,42
2303,Brazil,2021,SQL Injection,Banking,50.61,772512,Hacker Group,Weak Passwords,Encryption,42
2304,Australia,2023,Phishing,Education,81.81,16360,Nation-state,Unpatched Software,AI-based Detection,37
2305,India,2024,Phishing,Telecommunications,38.68,224143,Nation-state,Social Engineering,Antivirus,60
2306,Russia,2023,SQL Injection,IT,52.35,743325,Insider,Weak Passwords,VPN,9
2307,France,2019,Phishing,Education,81.47,597542,Unknown,Weak Passwords,VPN,11
2308,Russia,2024,Malware,Education,55.15,913591,Hacker Group,Zero-day,AI-based Detection,51
2309,Japan,2023,SQL Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57
2310,China,2024,Ransomware,Healthcare,42.26,685837,Insider,Social Engineering,VPN,68
2311,India,2015,Phishing,Healthcare,28.6,690500,Hacker Group,Weak Passwords,Encryption,11
2312,India,2016,SQL Injection,Banking,4.31,520308,Insider,Zero-day,VPN,39
2313,India,2020,Phishing,Education,17.43,84643,Nation-state,Unpatched Software,Antivirus,53
2314,France,2023,Malware,Healthcare,85.28,762282,Hacker Group,Social Engineering,Firewall,11
2315,France,2022,Malware,Education,70.46,427144,Unknown,Social Engineering,Firewall,42
2316,Russia,2018,Man-in-the-Middle,Banking,86.87,800683,Nation-state,Unpatched Software,Firewall,57
2317,Japan,2024,Man-in-the-Middle,Education,46.39,662101,Insider,Social Engineering,VPN,7
2318,Australia,2016,Malware,IT,30.72,977343,Hacker Group,Weak Passwords,VPN,47
2319,India,2021,Ransomware,Education,86.73,534013,Unknown,Unpatched Software,Firewall,49
2320,China,2024,SQL Injection,Education,18.45,947933,Insider,Social Engineering,Antivirus,10
2321,Australia,2017,Malware,Retail,9.25,692167,Unknown,Weak Passwords,Encryption,70
2322,Japan,2023,Malware,IT,23.16,320277,Unknown,Weak Passwords,Encryption,69
2323,Japan,2017,Ransomware,Retail,49.75,163062,Unknown,Unpatched Software,AI-based Detection,43
2324,Australia,2017,Malware,Banking,25.76,801821,Unknown,Weak Passwords,AI-based Detection,18
2325,China,2016,Ransomware,Government,72.25,860664,Unknown,Zero-day,Firewall,10
2326,Japan,2018,Man-in-the-Middle,Education,20.85,511823,Insider,Zero-day,AI-based Detection,43
2327,Germany,2024,Man-in-the-Middle,IT,93.13,952299,Unknown,Weak Passwords,VPN,33
2328,India,2018,Phishing,Education,5.27,982450,Unknown,Weak Passwords,Firewall,32
2329,Australia,2024,DDoS,Retail,28.16,411083,Unknown,Weak Passwords,Firewall,30
2330,USA,2019,Man-in-the-Middle,Government,17.59,43140,Insider,Social Engineering,AI-based Detection,28
2331,UK,2018,Malware,Education,51.59,935465,Nation-state,Weak Passwords,AI-based Detection,28
2332,Germany,2018,DDoS,Banking,81.34,52799,Insider,Zero-day,AI-based Detection,38
2333,China,2020,SQL Injection,Telecommunications,70.02,688312,Nation-state,Unpatched Software,VPN,48
2334,France,2024,Phishing,Government,5.18,219162,Hacker Group,Unpatched Software,Encryption,23
2335,UK,2017,Man-in-the-Middle,Telecommunications,60.01,740448,Hacker Group,Weak Passwords,Encryption,26
2336,France,2016,Ransomware,Banking,62.73,596776,Nation-state,Zero-day,Firewall,17
2337,Australia,2022,SQL Injection,Telecommunications,56.2,571454,Insider,Weak Passwords,VPN,42
2338,Russia,2020,DDoS,Government,72.59,787260,Insider,Weak Passwords,Firewall,15
2339,UK,2018,Malware,Healthcare,19.79,805745,Insider,Weak Passwords,Firewall,7
2340,Russia,2020,SQL Injection,Telecommunications,35.02,377194,Unknown,Weak Passwords,Firewall,50
2341,China,2023,Malware,Education,37.07,417554,Insider,Unpatched Software,Antivirus,35
2342,China,2019,SQL Injection,Government,65.85,252025,Hacker Group,Zero-day,Encryption,60
2343,India,2015,Ransomware,Education,96.03,898251,Hacker Group,Weak Passwords,Antivirus,70
2344,Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,Unknown,Unpatched Software,Encryption,51
2345,India,2017,DDoS,Banking,45.98,538245,Hacker Group,Weak Passwords,AI-based Detection,18
2346,India,2021,Malware,Telecommunications,50.97,838461,Nation-state,Zero-day,AI-based Detection,6
2347,Brazil,2020,SQL Injection,Banking,68.05,912770,Unknown,Zero-day,AI-based Detection,67
2348,India,2021,DDoS,Education,95.95,62194,Nation-state,Zero-day,AI-based Detection,12
2349,UK,2023,Man-in-the-Middle,Banking,15.01,416522,Insider,Social Engineering,VPN,63
2350,UK,2021,DDoS,IT,70.49,530341,Insider,Social Engineering,VPN,40
2351,Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21
2352,Russia,2021,Phishing,Banking,78.45,56333,Unknown,Social Engineering,VPN,8
2353,Germany,2018,Ransomware,IT,27.51,644913,Unknown,Weak Passwords,VPN,32
2354,Japan,2017,SQL Injection,Banking,18.01,295917,Unknown,Weak Passwords,VPN,57
2355,India,2020,Malware,Healthcare,20.62,54206,Insider,Unpatched Software,VPN,51
2356,India,2018,DDoS,Telecommunications,47.5,423071,Unknown,Unpatched Software,Antivirus,69
2357,Australia,2021,Man-in-the-Middle,Healthcare,17.62,687020,Unknown,Weak Passwords,Antivirus,48
2358,USA,2020,Ransomware,Education,77.09,550317,Insider,Weak Passwords,Encryption,63
2359,Germany,2021,Phishing,Banking,48,170032,Nation-state,Social Engineering,Encryption,24
2360,China,2020,SQL Injection,Healthcare,11.55,388591,Unknown,Zero-day,Antivirus,68
2361,India,2023,DDoS,Healthcare,2.27,438318,Hacker Group,Unpatched Software,AI-based Detection,39
2362,India,2018,DDoS,Education,1.71,63389,Insider,Unpatched Software,VPN,20
2363,USA,2015,Man-in-the-Middle,Retail,95.66,377602,Nation-state,Zero-day,Firewall,15
2364,France,2021,SQL Injection,Government,42.75,467551,Unknown,Unpatched Software,Encryption,61
2365,UK,2022,Malware,Telecommunications,38.76,361529,Nation-state,Social Engineering,Firewall,67
2366,Australia,2019,Man-in-the-Middle,Retail,15.21,677755,Hacker Group,Social Engineering,Firewall,52
2367,UK,2022,Man-in-the-Middle,IT,66.25,303838,Nation-state,Zero-day,AI-based Detection,56
2368,India,2016,Ransomware,Banking,93.74,339815,Insider,Weak Passwords,Firewall,58
2369,Russia,2020,Ransomware,Banking,13.66,820140,Insider,Social Engineering,VPN,63
2370,Russia,2015,Ransomware,IT,49.3,879875,Insider,Zero-day,Encryption,61
2371,Brazil,2022,Man-in-the-Middle,Healthcare,40.94,987320,Unknown,Zero-day,AI-based Detection,44
2372,Japan,2023,SQL Injection,Government,13.51,772948,Unknown,Zero-day,VPN,43
2373,Brazil,2015,Phishing,Healthcare,84.83,794914,Insider,Social Engineering,Firewall,34
2374,Brazil,2019,DDoS,Telecommunications,36.98,198563,Hacker Group,Social Engineering,Firewall,24
2375,Germany,2022,DDoS,Retail,21.45,32346,Nation-state,Unpatched Software,AI-based Detection,38
2376,China,2015,Phishing,Banking,18.39,541829,Nation-state,Zero-day,Antivirus,33
2377,Russia,2024,Phishing,Telecommunications,21.22,446028,Hacker Group,Weak Passwords,VPN,37
2378,France,2022,Malware,Education,13.06,759625,Insider,Social Engineering,Encryption,14
2379,Brazil,2017,Phishing,Retail,3.18,520654,Nation-state,Social Engineering,VPN,53
2380,USA,2023,DDoS,IT,99.64,248383,Insider,Social Engineering,Firewall,55
2381,China,2017,Man-in-the-Middle,Banking,62.39,855974,Unknown,Social Engineering,VPN,44
2382,China,2020,Malware,Government,84.23,50842,Insider,Zero-day,AI-based Detection,59
2383,Germany,2015,Man-in-the-Middle,Education,81.5,697275,Nation-state,Weak Passwords,Encryption,59
2384,Germany,2022,Man-in-the-Middle,Telecommunications,0.54,419912,Nation-state,Zero-day,AI-based Detection,40
2385,Japan,2023,Man-in-the-Middle,Banking,65.8,193620,Nation-state,Zero-day,VPN,67
2386,China,2024,SQL Injection,Banking,58.32,777684,Unknown,Zero-day,VPN,31
2387,UK,2018,Malware,Healthcare,27.61,375245,Hacker Group,Social Engineering,Firewall,20
2388,China,2023,Man-in-the-Middle,IT,22.96,656090,Insider,Unpatched Software,Encryption,27
2389,Australia,2016,Man-in-the-Middle,IT,80.27,653967,Unknown,Unpatched Software,Encryption,21
2390,India,2022,SQL Injection,Education,0.83,977791,Unknown,Weak Passwords,Antivirus,15
2391,UK,2023,DDoS,Telecommunications,81.91,397687,Hacker Group,Social Engineering,VPN,65
2392,France,2017,Malware,Banking,40.87,719537,Nation-state,Zero-day,AI-based Detection,23
2393,Brazil,2017,DDoS,Telecommunications,34.79,724790,Hacker Group,Unpatched Software,Firewall,64
2394,France,2016,Phishing,IT,33.33,51723,Hacker Group,Weak Passwords,Encryption,23
2395,India,2023,Ransomware,Healthcare,18.26,312340,Nation-state,Zero-day,VPN,35
2396,India,2016,Man-in-the-Middle,Banking,15.28,995025,Unknown,Weak Passwords,AI-based Detection,52
2397,France,2024,SQL Injection,Telecommunications,48.77,336356,Hacker Group,Unpatched Software,Encryption,2
2398,France,2017,Ransomware,Retail,48.93,886212,Unknown,Weak Passwords,Encryption,67
2399,Japan,2016,Ransomware,Healthcare,37.23,209358,Nation-state,Social Engineering,Firewall,25
2400,Russia,2022,DDoS,Education,69.24,495616,Nation-state,Unpatched Software,Antivirus,38
2401,China,2021,SQL Injection,Government,55.55,224311,Insider,Zero-day,Firewall,57
2402,Japan,2022,DDoS,IT,51.95,65516,Insider,Weak Passwords,Firewall,37
2403,Germany,2024,Ransomware,Government,40.36,301972,Unknown,Weak Passwords,VPN,33
2404,Germany,2015,Phishing,Telecommunications,47.04,124250,Insider,Zero-day,AI-based Detection,64
2405,USA,2018,Man-in-the-Middle,Healthcare,22.61,733934,Nation-state,Zero-day,Firewall,31
2406,Brazil,2022,Malware,IT,19.26,377446,Unknown,Zero-day,AI-based Detection,12
2407,China,2021,SQL Injection,IT,98.57,430792,Insider,Weak Passwords,Antivirus,9
2408,UK,2015,Malware,IT,96.79,825881,Unknown,Zero-day,AI-based Detection,35
2409,USA,2020,Malware,Telecommunications,27.16,858207,Nation-state,Unpatched Software,AI-based Detection,42
2410,Germany,2021,Ransomware,Healthcare,16.64,912847,Unknown,Weak Passwords,Antivirus,27
2411,UK,2018,Malware,Banking,41.34,82287,Unknown,Unpatched Software,Encryption,61
2412,USA,2020,Man-in-the-Middle,Education,44.85,527938,Nation-state,Zero-day,Encryption,1
2413,UK,2022,DDoS,Telecommunications,50.9,645154,Insider,Weak Passwords,AI-based Detection,16
2414,India,2018,Ransomware,Retail,26.01,732636,Hacker Group,Zero-day,VPN,3
2415,Russia,2015,DDoS,Retail,69.61,26321,Nation-state,Zero-day,Encryption,11
2416,Germany,2023,Ransomware,Banking,52.88,982507,Unknown,Unpatched Software,Encryption,39
2417,Russia,2019,Malware,Retail,11.57,367712,Nation-state,Weak Passwords,Firewall,13
2418,Russia,2015,DDoS,Telecommunications,83.28,236346,Insider,Unpatched Software,AI-based Detection,55
2419,Australia,2018,SQL Injection,Retail,51.46,287089,Nation-state,Weak Passwords,Encryption,8
2420,Brazil,2024,Malware,Healthcare,50.71,964191,Unknown,Weak Passwords,VPN,36
2421,China,2016,SQL Injection,Healthcare,52.68,55913,Nation-state,Social Engineering,Antivirus,70
2422,Japan,2015,Phishing,Government,98.29,850600,Insider,Zero-day,Encryption,17
2423,France,2024,Phishing,Retail,45.57,201137,Hacker Group,Zero-day,Antivirus,25
2424,Germany,2017,Malware,Healthcare,1.68,859708,Nation-state,Weak Passwords,Encryption,10
2425,Russia,2016,Phishing,Government,2.74,863777,Insider,Zero-day,Antivirus,20
2426,Japan,2024,SQL Injection,Banking,67.37,521384,Unknown,Social Engineering,Antivirus,32
2427,Russia,2022,SQL Injection,Government,69.09,474183,Insider,Weak Passwords,Antivirus,27
2428,Brazil,2018,SQL Injection,Retail,36.63,829742,Insider,Unpatched Software,Firewall,57
2429,USA,2021,DDoS,Telecommunications,99.81,460842,Unknown,Weak Passwords,AI-based Detection,59
2430,Australia,2022,Malware,Retail,47.33,839881,Unknown,Zero-day,Firewall,51
2431,Brazil,2017,DDoS,IT,72.48,860625,Unknown,Zero-day,Firewall,4
2432,UK,2019,SQL Injection,Healthcare,65.47,263110,Insider,Social Engineering,Firewall,6
2433,Japan,2020,Man-in-the-Middle,IT,13.61,506364,Nation-state,Social Engineering,Firewall,66
2434,USA,2021,Phishing,Education,6.01,176772,Insider,Unpatched Software,Firewall,6
2435,Brazil,2021,SQL Injection,Retail,1.32,564277,Nation-state,Weak Passwords,Firewall,1
2436,Australia,2017,Man-in-the-Middle,Retail,47.97,36780,Insider,Unpatched Software,AI-based Detection,64
2437,Germany,2021,Ransomware,Retail,46.82,589744,Nation-state,Weak Passwords,VPN,32
2438,Russia,2018,Malware,Government,59.01,309230,Hacker Group,Social Engineering,Encryption,61
2439,China,2024,Man-in-the-Middle,Telecommunications,53.59,4913,Hacker Group,Weak Passwords,AI-based Detection,61
2440,Brazil,2020,SQL Injection,Education,50.41,350295,Insider,Unpatched Software,Encryption,5
2441,USA,2020,DDoS,Banking,60.2,998937,Nation-state,Zero-day,Antivirus,19
2442,Brazil,2018,Malware,Telecommunications,96.22,445546,Nation-state,Weak Passwords,Firewall,45
2443,Brazil,2023,SQL Injection,Healthcare,7.33,486146,Insider,Zero-day,Firewall,12
2444,UK,2016,Phishing,Education,29.49,466333,Hacker Group,Zero-day,Firewall,51
2445,Japan,2019,Phishing,Government,73.35,706019,Nation-state,Zero-day,Encryption,65
2446,UK,2020,DDoS,Retail,70.03,971464,Nation-state,Weak Passwords,Firewall,4
2447,India,2015,Man-in-the-Middle,IT,76.97,224983,Nation-state,Weak Passwords,AI-based Detection,42
2448,Brazil,2019,Ransomware,Telecommunications,87.41,919425,Nation-state,Unpatched Software,Encryption,45
2449,Russia,2023,DDoS,Telecommunications,57.25,115138,Unknown,Unpatched Software,Encryption,42
2450,Japan,2020,Phishing,IT,99.57,786468,Nation-state,Social Engineering,AI-based Detection,42
2451,India,2023,Phishing,Retail,5.11,620560,Hacker Group,Weak Passwords,Antivirus,59
2452,USA,2017,Malware,Government,56.74,976007,Insider,Social Engineering,Encryption,59
2453,France,2016,DDoS,Education,46.58,361163,Hacker Group,Zero-day,Firewall,38
2454,Brazil,2017,Ransomware,Healthcare,54.78,469735,Nation-state,Zero-day,Encryption,57
2455,USA,2015,Man-in-the-Middle,IT,46.27,117231,Unknown,Unpatched Software,AI-based Detection,28
2456,Germany,2018,Ransomware,Healthcare,14.38,276925,Unknown,Unpatched Software,VPN,54
2457,Australia,2019,Malware,Telecommunications,37.3,208089,Unknown,Zero-day,Antivirus,33
2458,Australia,2016,Phishing,Telecommunications,63.81,71720,Hacker Group,Zero-day,Encryption,21
2459,Russia,2024,Ransomware,Telecommunications,35.62,236676,Nation-state,Social Engineering,AI-based Detection,67
2460,India,2024,Man-in-the-Middle,Telecommunications,93.46,409281,Nation-state,Weak Passwords,Antivirus,18
2461,Japan,2023,Phishing,Banking,82.36,612815,Insider,Zero-day,Antivirus,12
2462,Russia,2018,SQL Injection,Telecommunications,11.32,153618,Nation-state,Weak Passwords,VPN,29
2463,India,2023,Ransomware,Banking,57.15,704230,Nation-state,Zero-day,VPN,71
2464,China,2019,Malware,Retail,79.37,863510,Hacker Group,Weak Passwords,VPN,2
2465,India,2024,DDoS,Healthcare,4.08,488599,Unknown,Social Engineering,Encryption,11
2466,France,2022,Ransomware,Healthcare,80.73,964782,Unknown,Weak Passwords,VPN,47
2467,Germany,2018,Man-in-the-Middle,IT,48.96,323027,Unknown,Unpatched Software,Encryption,49
2468,China,2023,Man-in-the-Middle,Education,10.55,12970,Unknown,Social Engineering,Antivirus,32
2469,India,2020,Man-in-the-Middle,Government,50.19,659835,Unknown,Zero-day,Encryption,46
2470,China,2023,SQL Injection,Telecommunications,66.92,336320,Hacker Group,Social Engineering,VPN,51
2471,China,2017,Man-in-the-Middle,Banking,47.52,83617,Insider,Unpatched Software,AI-based Detection,64
2472,Brazil,2018,Malware,Banking,87.13,99178,Nation-state,Unpatched Software,Antivirus,27
2473,Brazil,2024,Ransomware,Education,80.1,489369,Nation-state,Unpatched Software,Encryption,41
2474,Russia,2017,Phishing,Telecommunications,2.22,620350,Hacker Group,Zero-day,Firewall,45
2475,USA,2020,DDoS,Healthcare,38.14,846602,Insider,Weak Passwords,Firewall,31
2476,India,2017,Malware,Government,61.02,650042,Nation-state,Unpatched Software,Antivirus,48
2477,Japan,2019,Man-in-the-Middle,Government,61.01,549197,Hacker Group,Social Engineering,Antivirus,59
2478,France,2023,Phishing,IT,15.49,138639,Hacker Group,Unpatched Software,VPN,14
2479,Australia,2024,Man-in-the-Middle,Healthcare,93.4,833819,Insider,Unpatched Software,Antivirus,14
2480,India,2022,Malware,Retail,13.88,813217,Insider,Zero-day,AI-based Detection,71
2481,UK,2017,Malware,Banking,11.25,636273,Insider,Zero-day,Antivirus,30
2482,Russia,2017,Man-in-the-Middle,Banking,66.53,45277,Insider,Social Engineering,Firewall,43
2483,Australia,2015,Phishing,Telecommunications,89.41,488342,Hacker Group,Unpatched Software,Firewall,23
2484,France,2019,Phishing,IT,55.31,526220,Nation-state,Social Engineering,AI-based Detection,2
2485,USA,2023,DDoS,Education,90.38,311596,Insider,Weak Passwords,VPN,23
2486,Brazil,2024,DDoS,Retail,25.17,658226,Insider,Weak Passwords,VPN,52
